date,cases,rain_lagged,year,year_str,era,rain_date
2016-01-24,3326,80.5,2016,2016,Pre-lockdown (2014–2020),2015-11-29
2016-01-31,3310,51.4,2016,2016,Pre-lockdown (2014–2020),2015-12-06
2016-02-07,2567,125.1,2016,2016,Pre-lockdown (2014–2020),2015-12-13
2016-02-14,2772,26.4,2016,2016,Pre-lockdown (2014–2020),2015-12-20
2016-02-21,2906,25.4,2016,2016,Pre-lockdown (2014–2020),2015-12-27
2016-02-28,2709,15.4,2016,2016,Pre-lockdown (2014–2020),2016-01-03
2016-03-06,2550,18.3,2016,2016,Pre-lockdown (2014–2020),2016-01-10
2016-03-13,2234,45.2,2016,2016,Pre-lockdown (2014–2020),2016-01-17
2016-03-20,2131,45.3,2016,2016,Pre-lockdown (2014–2020),2016-01-24
2016-03-27,2131,33.4,2016,2016,Pre-lockdown (2014–2020),2016-01-31
2016-04-03,2013,55.0,2016,2016,Pre-lockdown (2014–2020),2016-02-07
2016-04-10,1839,13.5,2016,2016,Pre-lockdown (2014–2020),2016-02-14
2016-04-17,1594,25.1,2016,2016,Pre-lockdown (2014–2020),2016-02-21
2016-04-24,1538,7.2,2016,2016,Pre-lockdown (2014–2020),2016-02-28
2016-05-01,1317,7.800000000000001,2016,2016,Pre-lockdown (2014–2020),2016-03-06
2016-05-08,1340,12.9,2016,2016,Pre-lockdown (2014–2020),2016-03-13
2016-05-15,1222,15.9,2016,2016,Pre-lockdown (2014–2020),2016-03-20
2016-05-22,1213,45.5,2016,2016,Pre-lockdown (2014–2020),2016-03-27
2016-05-29,1253,2.5,2016,2016,Pre-lockdown (2014–2020),2016-04-03
2016-06-05,1592,10.8,2016,2016,Pre-lockdown (2014–2020),2016-04-10
2016-06-12,1821,40.5,2016,2016,Pre-lockdown (2014–2020),2016-04-17
2016-06-19,1766,24.3,2016,2016,Pre-lockdown (2014–2020),2016-04-24
2016-06-26,2026,46.8,2016,2016,Pre-lockdown (2014–2020),2016-05-01
2016-07-03,1497,135.5,2016,2016,Pre-lockdown (2014–2020),2016-05-08
2016-07-10,2239,84.3,2016,2016,Pre-lockdown (2014–2020),2016-05-15
2016-07-17,2184,27.4,2016,2016,Pre-lockdown (2014–2020),2016-05-22
2016-07-24,1868,31.0,2016,2016,Pre-lockdown (2014–2020),2016-05-29
2016-07-31,1812,17.4,2016,2016,Pre-lockdown (2014–2020),2016-06-05
2016-08-07,1946,14.2,2016,2016,Pre-lockdown (2014–2020),2016-06-12
2016-08-14,2191,41.3,2016,2016,Pre-lockdown (2014–2020),2016-06-19
2016-08-21,2246,11.1,2016,2016,Pre-lockdown (2014–2020),2016-06-26
2016-08-28,2136,0.0,2016,2016,Pre-lockdown (2014–2020),2016-07-03
2016-09-04,2088,16.400000000000002,2016,2016,Pre-lockdown (2014–2020),2016-07-10
2016-09-11,1606,16.4,2016,2016,Pre-lockdown (2014–2020),2016-07-17
2016-09-18,1811,80.2,2016,2016,Pre-lockdown (2014–2020),2016-07-24
2016-09-25,1693,10.2,2016,2016,Pre-lockdown (2014–2020),2016-07-31
2016-10-02,1550,1.4,2016,2016,Pre-lockdown (2014–2020),2016-08-07
2016-10-09,1645,18.2,2016,2016,Pre-lockdown (2014–2020),2016-08-14
2016-10-16,1439,15.9,2016,2016,Pre-lockdown (2014–2020),2016-08-21
2016-10-23,1344,9.9,2016,2016,Pre-lockdown (2014–2020),2016-08-28
2016-10-30,1234,45.5,2016,2016,Pre-lockdown (2014–2020),2016-09-04
2016-11-06,1383,52.900000000000006,2016,2016,Pre-lockdown (2014–2020),2016-09-11
2016-11-13,1178,15.7,2016,2016,Pre-lockdown (2014–2020),2016-09-18
2016-11-20,1233,11.3,2016,2016,Pre-lockdown (2014–2020),2016-09-25
2016-11-27,1312,4.300000000000001,2016,2016,Pre-lockdown (2014–2020),2016-10-02
2016-12-04,1367,40.8,2016,2016,Pre-lockdown (2014–2020),2016-10-09
2016-12-11,1406,32.1,2016,2016,Pre-lockdown (2014–2020),2016-10-16
2016-12-18,1588,101.7,2016,2016,Pre-lockdown (2014–2020),2016-10-23
2016-12-25,1303,56.8,2016,2016,Pre-lockdown (2014–2020),2016-10-30
2017-01-01,1679,95.4,2017,2017,Pre-lockdown (2014–2020),2016-11-06
2017-01-08,1853,81.2,2017,2017,Pre-lockdown (2014–2020),2016-11-13
2017-01-15,2040,81.5,2017,2017,Pre-lockdown (2014–2020),2016-11-20
2017-01-22,1887,87.4,2017,2017,Pre-lockdown (2014–2020),2016-11-27
2017-01-29,1559,87.2,2017,2017,Pre-lockdown (2014–2020),2016-12-04
2017-02-05,1660,68.7,2017,2017,Pre-lockdown (2014–2020),2016-12-11
2017-02-12,1921,21.9,2017,2017,Pre-lockdown (2014–2020),2016-12-18
2017-02-19,1947,51.3,2017,2017,Pre-lockdown (2014–2020),2016-12-25
2017-02-26,1874,92.6,2017,2017,Pre-lockdown (2014–2020),2017-01-01
2017-03-05,1934,71.5,2017,2017,Pre-lockdown (2014–2020),2017-01-08
2017-03-12,1807,58.4,2017,2017,Pre-lockdown (2014–2020),2017-01-15
2017-03-19,1761,133.0,2017,2017,Pre-lockdown (2014–2020),2017-01-22
2017-03-26,1848,119.6,2017,2017,Pre-lockdown (2014–2020),2017-01-29
2017-04-02,2022,70.5,2017,2017,Pre-lockdown (2014–2020),2017-02-05
2017-04-09,1895,18.0,2017,2017,Pre-lockdown (2014–2020),2017-02-12
2017-04-16,1822,6.9,2017,2017,Pre-lockdown (2014–2020),2017-02-19
2017-04-23,1875,88.9,2017,2017,Pre-lockdown (2014–2020),2017-02-26
2017-04-30,2036,75.8,2017,2017,Pre-lockdown (2014–2020),2017-03-05
2017-05-07,2250,55.0,2017,2017,Pre-lockdown (2014–2020),2017-03-12
2017-05-14,2317,95.6,2017,2017,Pre-lockdown (2014–2020),2017-03-19
2017-05-21,2230,85.5,2017,2017,Pre-lockdown (2014–2020),2017-03-26
2017-05-28,2123,115.1,2017,2017,Pre-lockdown (2014–2020),2017-04-02
2017-06-04,2184,92.2,2017,2017,Pre-lockdown (2014–2020),2017-04-09
2017-06-11,1635,120.3,2017,2017,Pre-lockdown (2014–2020),2017-04-16
2017-06-18,1963,52.1,2017,2017,Pre-lockdown (2014–2020),2017-04-23
2017-06-25,2057,149.2,2017,2017,Pre-lockdown (2014–2020),2017-04-30
2017-07-02,2004,117.6,2017,2017,Pre-lockdown (2014–2020),2017-05-07
2017-07-09,1890,73.6,2017,2017,Pre-lockdown (2014–2020),2017-05-14
2017-07-16,1910,108.3,2017,2017,Pre-lockdown (2014–2020),2017-05-21
2017-07-23,1683,54.5,2017,2017,Pre-lockdown (2014–2020),2017-05-28
2017-07-30,1402,48.0,2017,2017,Pre-lockdown (2014–2020),2017-06-04
2017-08-06,1182,21.3,2017,2017,Pre-lockdown (2014–2020),2017-06-11
2017-08-13,1296,65.0,2017,2017,Pre-lockdown (2014–2020),2017-06-18
2017-08-20,1055,22.7,2017,2017,Pre-lockdown (2014–2020),2017-06-25
2017-08-27,1202,83.2,2017,2017,Pre-lockdown (2014–2020),2017-07-02
2017-09-03,1189,63.1,2017,2017,Pre-lockdown (2014–2020),2017-07-09
2017-09-10,1029,86.7,2017,2017,Pre-lockdown (2014–2020),2017-07-16
2017-09-17,1116,4.5,2017,2017,Pre-lockdown (2014–2020),2017-07-23
2017-09-24,1176,24.8,2017,2017,Pre-lockdown (2014–2020),2017-07-30
2017-10-01,1036,78.2,2017,2017,Pre-lockdown (2014–2020),2017-08-06
2017-10-08,983,84.8,2017,2017,Pre-lockdown (2014–2020),2017-08-13
2017-10-15,849,50.5,2017,2017,Pre-lockdown (2014–2020),2017-08-20
2017-10-22,963,48.8,2017,2017,Pre-lockdown (2014–2020),2017-08-27
2017-10-29,1010,79.9,2017,2017,Pre-lockdown (2014–2020),2017-09-03
2017-11-05,1070,116.7,2017,2017,Pre-lockdown (2014–2020),2017-09-10
2017-11-12,1003,126.8,2017,2017,Pre-lockdown (2014–2020),2017-09-17
2017-11-19,1536,83.3,2017,2017,Pre-lockdown (2014–2020),2017-09-24
2017-11-26,1903,55.2,2017,2017,Pre-lockdown (2014–2020),2017-10-01
2017-12-03,1935,80.3,2017,2017,Pre-lockdown (2014–2020),2017-10-08
2017-12-10,1740,78.10000000000001,2017,2017,Pre-lockdown (2014–2020),2017-10-15
2017-12-17,1910,7.7,2017,2017,Pre-lockdown (2014–2020),2017-10-22
2017-12-24,1793,73.7,2017,2017,Pre-lockdown (2014–2020),2017-10-29
2017-12-31,1037,238.4,2017,2017,Pre-lockdown (2014–2020),2017-11-05
2018-01-07,1164,116.8,2018,2018,Pre-lockdown (2014–2020),2017-11-12
2018-01-14,1071,89.0,2018,2018,Pre-lockdown (2014–2020),2017-11-19
2018-01-21,1064,117.3,2018,2018,Pre-lockdown (2014–2020),2017-11-26
2018-01-28,1211,114.0,2018,2018,Pre-lockdown (2014–2020),2017-12-03
2018-02-04,1158,68.2,2018,2018,Pre-lockdown (2014–2020),2017-12-10
2018-02-11,1225,48.2,2018,2018,Pre-lockdown (2014–2020),2017-12-17
2018-02-18,1272,69.6,2018,2018,Pre-lockdown (2014–2020),2017-12-24
2018-02-25,1092,119.5,2018,2018,Pre-lockdown (2014–2020),2017-12-31
2018-03-04,1078,124.9,2018,2018,Pre-lockdown (2014–2020),2018-01-07
2018-03-11,1146,130.29999999999998,2018,2018,Pre-lockdown (2014–2020),2018-01-14
2018-03-18,1039,69.7,2018,2018,Pre-lockdown (2014–2020),2018-01-21
2018-03-25,1253,68.6,2018,2018,Pre-lockdown (2014–2020),2018-01-28
2018-04-01,1193,64.4,2018,2018,Pre-lockdown (2014–2020),2018-02-04
2018-04-08,1066,4.0,2018,2018,Pre-lockdown (2014–2020),2018-02-11
2018-04-15,872,14.8,2018,2018,Pre-lockdown (2014–2020),2018-02-18
2018-04-22,1079,58.4,2018,2018,Pre-lockdown (2014–2020),2018-02-25
2018-04-29,1314,54.2,2018,2018,Pre-lockdown (2014–2020),2018-03-04
2018-05-06,1548,59.9,2018,2018,Pre-lockdown (2014–2020),2018-03-11
2018-05-13,1354,28.0,2018,2018,Pre-lockdown (2014–2020),2018-03-18
2018-05-20,1508,42.1,2018,2018,Pre-lockdown (2014–2020),2018-03-25
2018-05-27,1662,145.7,2018,2018,Pre-lockdown (2014–2020),2018-04-01
2018-06-03,1555,55.7,2018,2018,Pre-lockdown (2014–2020),2018-04-08
2018-06-10,1689,51.5,2018,2018,Pre-lockdown (2014–2020),2018-04-15
2018-06-17,1843,151.3,2018,2018,Pre-lockdown (2014–2020),2018-04-22
2018-06-24,2050,63.9,2018,2018,Pre-lockdown (2014–2020),2018-04-29
2018-07-01,1890,114.1,2018,2018,Pre-lockdown (2014–2020),2018-05-06
2018-07-08,1876,49.3,2018,2018,Pre-lockdown (2014–2020),2018-05-13
2018-07-15,2010,97.1,2018,2018,Pre-lockdown (2014–2020),2018-05-20
2018-07-22,2138,139.7,2018,2018,Pre-lockdown (2014–2020),2018-05-27
2018-07-29,2191,81.7,2018,2018,Pre-lockdown (2014–2020),2018-06-03
2018-08-05,2118,19.0,2018,2018,Pre-lockdown (2014–2020),2018-06-10
2018-08-12,1944,17.4,2018,2018,Pre-lockdown (2014–2020),2018-06-17
2018-08-19,1590,92.8,2018,2018,Pre-lockdown (2014–2020),2018-06-24
2018-08-26,1590,45.1,2018,2018,Pre-lockdown (2014–2020),2018-07-01
2018-09-02,1643,33.2,2018,2018,Pre-lockdown (2014–2020),2018-07-08
2018-09-09,1429,30.3,2018,2018,Pre-lockdown (2014–2020),2018-07-15
2018-09-16,1256,30.8,2018,2018,Pre-lockdown (2014–2020),2018-07-22
2018-09-23,1336,59.8,2018,2018,Pre-lockdown (2014–2020),2018-07-29
2018-09-30,1457,60.9,2018,2018,Pre-lockdown (2014–2020),2018-08-05
2018-10-07,1570,30.1,2018,2018,Pre-lockdown (2014–2020),2018-08-12
2018-10-14,1504,21.1,2018,2018,Pre-lockdown (2014–2020),2018-08-19
2018-10-21,1611,61.0,2018,2018,Pre-lockdown (2014–2020),2018-08-26
2018-10-28,1731,43.6,2018,2018,Pre-lockdown (2014–2020),2018-09-02
2018-11-04,1725,66.3,2018,2018,Pre-lockdown (2014–2020),2018-09-09
2018-11-11,1892,93.0,2018,2018,Pre-lockdown (2014–2020),2018-09-16
2018-11-18,2046,47.6,2018,2018,Pre-lockdown (2014–2020),2018-09-23
2018-11-25,2073,69.7,2018,2018,Pre-lockdown (2014–2020),2018-09-30
2018-12-02,2615,74.9,2018,2018,Pre-lockdown (2014–2020),2018-10-07
2018-12-09,2341,175.6,2018,2018,Pre-lockdown (2014–2020),2018-10-14
2018-12-16,2455,69.0,2018,2018,Pre-lockdown (2014–2020),2018-10-21
2018-12-23,2548,111.8,2018,2018,Pre-lockdown (2014–2020),2018-10-28
2018-12-30,2566,136.9,2018,2018,Pre-lockdown (2014–2020),2018-11-04
2019-01-06,3195,112.3,2019,2019,Pre-lockdown (2014–2020),2018-11-11
2019-01-13,3352,83.5,2019,2019,Pre-lockdown (2014–2020),2018-11-18
2019-01-20,3125,136.3,2019,2019,Pre-lockdown (2014–2020),2018-11-25
2019-01-27,3239,103.7,2019,2019,Pre-lockdown (2014–2020),2018-12-02
2019-02-03,2480,147.7,2019,2019,Pre-lockdown (2014–2020),2018-12-09
2019-02-10,3047,157.9,2019,2019,Pre-lockdown (2014–2020),2018-12-16
2019-02-17,2873,54.3,2019,2019,Pre-lockdown (2014–2020),2018-12-23
2019-02-24,2611,36.0,2019,2019,Pre-lockdown (2014–2020),2018-12-30
2019-03-03,2777,32.2,2019,2019,Pre-lockdown (2014–2020),2019-01-06
2019-03-10,2577,51.6,2019,2019,Pre-lockdown (2014–2020),2019-01-13
2019-03-17,2332,88.0,2019,2019,Pre-lockdown (2014–2020),2019-01-20
2019-03-24,2062,22.700000000000003,2019,2019,Pre-lockdown (2014–2020),2019-01-27
2019-03-31,1809,58.4,2019,2019,Pre-lockdown (2014–2020),2019-02-03
2019-04-07,1731,36.4,2019,2019,Pre-lockdown (2014–2020),2019-02-10
2019-04-14,1609,36.400000000000006,2019,2019,Pre-lockdown (2014–2020),2019-02-17
2019-04-21,1626,40.2,2019,2019,Pre-lockdown (2014–2020),2019-02-24
2019-04-28,1687,36.7,2019,2019,Pre-lockdown (2014–2020),2019-03-03
2019-05-05,1854,16.599999999999998,2019,2019,Pre-lockdown (2014–2020),2019-03-10
2019-05-12,2177,26.8,2019,2019,Pre-lockdown (2014–2020),2019-03-17
2019-05-19,2028,31.1,2019,2019,Pre-lockdown (2014–2020),2019-03-24
2019-05-26,2168,70.9,2019,2019,Pre-lockdown (2014–2020),2019-03-31
2019-06-02,1575,63.2,2019,2019,Pre-lockdown (2014–2020),2019-04-07
2019-06-09,2308,68.4,2019,2019,Pre-lockdown (2014–2020),2019-04-14
2019-06-16,2788,70.4,2019,2019,Pre-lockdown (2014–2020),2019-04-21
2019-06-23,2789,89.39999999999999,2019,2019,Pre-lockdown (2014–2020),2019-04-28
2019-06-30,3173,47.1,2019,2019,Pre-lockdown (2014–2020),2019-05-05
2019-07-07,3348,36.6,2019,2019,Pre-lockdown (2014–2020),2019-05-12
2019-07-14,3400,71.9,2019,2019,Pre-lockdown (2014–2020),2019-05-19
2019-07-21,3584,68.0,2019,2019,Pre-lockdown (2014–2020),2019-05-26
2019-07-28,3217,95.2,2019,2019,Pre-lockdown (2014–2020),2019-06-02
2019-08-04,3392,108.4,2019,2019,Pre-lockdown (2014–2020),2019-06-09
2019-08-11,2729,27.4,2019,2019,Pre-lockdown (2014–2020),2019-06-16
2019-08-18,2956,57.5,2019,2019,Pre-lockdown (2014–2020),2019-06-23
2019-08-25,2738,26.8,2019,2019,Pre-lockdown (2014–2020),2019-06-30
2019-09-01,2389,28.4,2019,2019,Pre-lockdown (2014–2020),2019-07-07
2019-09-08,2284,53.2,2019,2019,Pre-lockdown (2014–2020),2019-07-14
2019-09-15,2546,15.3,2019,2019,Pre-lockdown (2014–2020),2019-07-21
2019-09-22,2372,44.3,2019,2019,Pre-lockdown (2014–2020),2019-07-28
2019-09-29,2171,20.0,2019,2019,Pre-lockdown (2014–2020),2019-08-04
2019-10-06,2006,11.7,2019,2019,Pre-lockdown (2014–2020),2019-08-11
2019-10-13,1927,50.4,2019,2019,Pre-lockdown (2014–2020),2019-08-18
2019-10-20,1971,31.3,2019,2019,Pre-lockdown (2014–2020),2019-08-25
2019-10-27,1805,23.8,2019,2019,Pre-lockdown (2014–2020),2019-09-01
2019-11-03,1937,29.9,2019,2019,Pre-lockdown (2014–2020),2019-09-08
2019-11-10,2399,23.4,2019,2019,Pre-lockdown (2014–2020),2019-09-15
2019-11-17,2173,20.7,2019,2019,Pre-lockdown (2014–2020),2019-09-22
2019-11-24,2583,81.2,2019,2019,Pre-lockdown (2014–2020),2019-09-29
2019-12-01,2435,62.6,2019,2019,Pre-lockdown (2014–2020),2019-10-06
2019-12-08,2793,80.8,2019,2019,Pre-lockdown (2014–2020),2019-10-13
2019-12-15,2618,143.9,2019,2019,Pre-lockdown (2014–2020),2019-10-20
2019-12-22,2680,62.7,2019,2019,Pre-lockdown (2014–2020),2019-10-27
2019-12-29,2837,102.5,2019,2019,Pre-lockdown (2014–2020),2019-11-03
2020-01-05,3238,56.5,2020,2020,Pre-lockdown (2014–2020),2019-11-10
2020-01-12,3396,143.0,2020,2020,Pre-lockdown (2014–2020),2019-11-17
2020-01-19,3117,107.2,2020,2020,Pre-lockdown (2014–2020),2019-11-24
2020-01-26,2733,84.5,2020,2020,Pre-lockdown (2014–2020),2019-12-01
2020-02-02,3126,69.6,2020,2020,Pre-lockdown (2014–2020),2019-12-08
2020-02-09,2716,68.0,2020,2020,Pre-lockdown (2014–2020),2019-12-15
2020-02-16,2611,79.6,2020,2020,Pre-lockdown (2014–2020),2019-12-22
2020-02-23,2515,49.0,2020,2020,Pre-lockdown (2014–2020),2019-12-29
2020-03-01,2533,19.7,2020,2020,Pre-lockdown (2014–2020),2020-01-05
2020-03-08,2210,32.8,2020,2020,Pre-lockdown (2014–2020),2020-01-12
2020-03-15,1878,36.1,2020,2020,Pre-lockdown (2014–2020),2020-01-19
2020-03-22,1294,11.9,2020,2020,Pre-lockdown (2014–2020),2020-01-26
2020-03-29,1163,64.5,2020,2020,Pre-lockdown (2014–2020),2020-02-02
2020-04-05,1111,25.7,2020,2020,Pre-lockdown (2014–2020),2020-02-09
2020-04-12,1190,121.2,2020,2020,Pre-lockdown (2014–2020),2020-02-16
2020-04-19,1286,20.5,2020,2020,Pre-lockdown (2014–2020),2020-02-23
2020-04-26,1399,5.5,2020,2020,Pre-lockdown (2014–2020),2020-03-01
2020-05-03,1408,64.3,2020,2020,Pre-lockdown (2014–2020),2020-03-08
2020-05-10,1496,33.4,2020,2020,Pre-lockdown (2014–2020),2020-03-15
2020-05-17,1810,49.6,2020,2020,Pre-lockdown (2014–2020),2020-03-22
2020-05-24,1601,42.1,2020,2020,Pre-lockdown (2014–2020),2020-03-29
2020-05-31,1924,59.8,2020,2020,Pre-lockdown (2014–2020),2020-04-05
2020-06-07,1950,36.2,2020,2020,Pre-lockdown (2014–2020),2020-04-12
2020-06-14,1759,56.3,2020,2020,Pre-lockdown (2014–2020),2020-04-19
2020-06-21,2143,113.5,2020,2020,Pre-lockdown (2014–2020),2020-04-26
2020-06-28,2125,83.8,2020,2020,Pre-lockdown (2014–2020),2020-05-03
